"photoid";"rating";"tags"
53;7.1047;";"
54;4.5349;";"
66;4.6941;";"
69;4.8588;";"
70;5.686;";"
71;8.0449;"Urban;Macro"
75;5.8989;"Sky;Travel"
76;4.2045;";"
77;6.9565;";"
87;3.2308;";"
101;3.4151;";"
106;8.6;"Sports;Macro"
107;3.9459;";"
108;4.2793;";"
109;5.4911;";"
118;5.2478;";"
122;5.991;";"
123;4.7928;";"
124;6.1622;";"
125;5.0631;";"
126;6.5135;";"
128;6.8125;";"
130;4.5536;";"
131;6.0268;";"
132;7.1182;";"
133;4.4324;";"
134;5.5893;";"
137;6.4727;";"
140;5.8455;";"
142;6.2692;";"
146;4.4221;";"
147;5.7143;";"
149;6.4777;"Landscape;Still"
150;8.5174;";"
153;6.2013;";"
154;3.5577;";"
155;5.1987;";"
158;6.4968;"Abstract;Macro"
160;6.7296;"Macro;"
162;8.0988;";"
165;4.8411;";"
166;5.2252;";"
167;3.8411;";"
168;5.2483;";"
169;5.3154;";"
170;6.7718;";"
172;5.3514;";"
174;4.9272;";"
175;6.5235;";"
176;4.8503;";"
177;3.7297;";"
178;6.1497;";"
179;5.745;";"
180;5.5503;";"
181;5.0658;";"
184;4.5342;"Nature;Macro"
185;6.5946;"Nature;Macro"
187;5.6533;";"
189;6.5817;";"
190;5.6507;";"
191;4.1575;";"
192;5.0616;";"
193;5.898;";"
194;5.0068;";"
195;6.1126;";"
196;5.5973;";"
198;6.2781;";"
199;5.6376;";"
200;5.0411;";"
201;3.415;";"
202;6.6903;"Emotive;Black"
203;5.2148;"Architecture;Macro"
204;5.3581;";"
205;3.9272;";"
207;5.7107;";"
208;6.962;"Nature;Macro"
210;4.9379;";"
211;3.522;";"
213;4.0063;";"
214;4.9937;";"
217;4.3734;";"
218;6.2201;";"
219;5.2244;"Landscape;Nature"
223;4.7386;";"
225;7.1321;"Abstract;"
226;5.2375;";"
227;2.9108;";"
230;6.9281;";"
233;5.7329;";"
234;5.2622;";"
235;6.8324;";"
238;5.4;";"
239;4.2083;";"
240;4.0359;";"
242;4.7811;";"
243;5.6864;";"
245;5.2229;";"
246;4.1463;";"
251;6.7485;";"
252;4.3354;";"
253;6.5244;";"
254;4.9686;";"
256;5.7025;";"
259;3.8544;";"
260;5.1456;";"
262;5.3654;";"
263;3.4323;";"
265;4.9416;";"
267;6.1742;";"
268;3.0774;";"
269;3.0714;";"
270;5.071;";"
271;5.7742;";"
272;5.6013;";"
274;3.9539;"Snapshot;"
275;4.3613;"Sky;Emotive"
277;5.7871;";"
279;6.7375;";"
280;5.2252;";"
281;4.92;";"
282;5.1533;";"
283;7.0392;";"
284;5.3333;"Abstract;Still"
285;4.1333;";"
286;5.9133;";"
287;5.443;";"
288;4.9799;";"
289;5.4422;";"
290;5.8069;";"
291;5.2905;";"
294;4.3103;";"
295;3.8562;";"
296;4.4653;";"
297;5.1818;";"
298;4.8276;";"
299;5.8601;";"
300;4.7793;";"
301;4.3889;"Still;Macro"
302;5.3776;";"
303;3.7063;";"
304;6.7432;"Macro;Advertisement"
305;4.774;";"
306;4.1293;"Fashion;Performance"
307;5.6644;";"
308;3.6644;";"
309;5.4492;";"
310;4.6356;";"
311;6.7131;";"
313;4.65;";"
314;3.4538;";"
315;6.5785;";"
317;3.916;";"
319;4.3644;";"
321;4.5207;";"
322;6.7917;";"
324;6.2857;";"
325;6.2869;";"
326;5.3033;";"
327;5.541;"Family;Candid"
329;5.3306;";"
330;5.9667;";"
331;4.6975;";"
333;4.0588;";"
334;4.6949;";"
337;5.7627;";"
338;4.9153;";"
340;4.7881;";"
342;5.6102;";"
344;4.9576;";"
346;4.8291;"Abstract;Portraiture"
350;6.1864;";"
351;6.4103;";"
355;3.5641;"Humorous;Portraiture"
359;4.7119;"Emotive;Portraiture"
361;3.084;";"
364;3.5424;";"
365;5.2735;";"
366;6.6923;";"
368;4.3793;"Abstract;Black"
370;3.6466;"Humorous;"
371;4.3793;";"
372;5.0862;";"
374;3.2414;";"
375;4.6325;";"
376;7.4492;";"
377;6.6752;";"
378;4.2393;";"
379;4.3761;";"
380;5.2034;";"
381;5.0252;";"
382;4.6271;";"
383;4.5169;";"
384;5.1017;";"
385;6.5702;"Humorous;Portraiture"
386;4.9316;";"
388;6.6667;"Portraiture;Black"
389;6.5043;";"
391;6.4918;";"
392;4.125;";"
393;4.5714;";"
394;4.9496;";"
395;4.2689;";"
397;4.0252;";"
398;3.9748;";"
399;5.0672;";"
400;4.5462;";"
401;5.0252;";"
402;5.1681;";"
403;4.6555;";"
404;5.7881;";"
405;4.0169;";"
406;3.9153;"Snapshot;"
407;5.3833;";"
408;3.563;";"
409;3.6917;"Snapshot;Portraiture"
410;5.3782;";"
411;6.05;";"
412;3.8655;";"
413;3.7815;";"
414;3.6134;";"
417;3.9007;";"
423;4.8645;";"
425;5.129;";"
429;5.9423;"Abstract;"
430;6.1026;";"
431;5.7821;";"
432;4.5032;"Abstract;"
434;5.4129;";"
438;6.2516;";"
441;5.7677;";"
442;5.6078;";"
443;4.6026;";"
444;4.8421;";"
448;6.9;";"
449;7.0592;";"
452;4.4667;";"
453;5.5695;";"
454;5.0397;";"
455;4.8079;";"
456;5.9536;";"
457;5.3467;"Humorous;"
460;4.1824;";"
461;5.3041;";"
462;4.7432;";"
465;6.3265;";"
467;5.7517;";"
469;4.7083;"Abstract;Sky"
470;4.7083;";"
471;5.9167;";"
473;4.7847;";"
478;4.9189;";"
482;6.3605;";"
483;6.6803;"Architecture;Travel"
484;5.0816;";"
485;5.6644;";"
486;5.6107;"Abstract;Performance"
487;4.5733;";"
488;7.2583;";"
489;6.0336;";"
490;6.1689;"Travel;"
492;4.6122;";"
493;6.9122;"Cityscape;Architecture"
494;5.6225;";"
495;4.88;";"
496;3.7517;"Abstract;Emotive"
497;6.0533;";"
498;4.84;";"
499;4.9533;";"
500;5.1081;"Architecture;"
501;5.4899;";"
502;4.3758;";"
503;5.3197;"Urban;"
505;5.8092;";"
506;6.4966;";"
507;3.1486;";"
510;6.4027;";"
513;3.6369;";"
519;6.4012;";"
521;7.6407;";"
522;4.2976;";"
523;6.4762;";"
524;5.6205;";"
525;4.7425;";"
527;4.1333;";"
528;3.3072;";"
530;3.8155;";"
534;5.3473;";"
535;6.5148;";"
540;6.3869;"Architecture;"
541;6.0952;";"
542;6.2822;";"
543;6.2024;";"
547;4.6807;";"
548;6.1;"Black;"
549;4.8982;";"
551;6.1302;";"
552;4.8916;";"
554;4.7605;";"
555;6.5536;";"
557;5.8036;";"
558;5.024;"Architecture;"
561;4.5488;";"
562;5.494;";"
563;6.5;";"
570;4.7784;";"
571;6.0059;";"
572;5.1786;";"
573;6.4788;";"
574;6.4706;";"
575;3.6585;"Architecture;"
576;6.3735;"Architecture;"
577;6.5503;";"
579;5.6829;";"
580;5.3614;";"
581;6.4107;"Snapshot;Architecture"
584;6.2857;";"
585;4.7278;";"
586;5.7515;";"
588;5.8982;";"
591;4.7605;";"
594;3.0599;"Sky;"
595;6.5301;"Cityscape;Architecture"
596;5.4242;";"
597;6.881;"Sky;Architecture"
598;4.4217;";"
600;6.0872;";"
601;5.5389;";"
602;3.0479;";"
603;5.638;";"
606;6.244;";"
608;4.7169;";"
610;5.2976;";"
612;5.8659;";"
615;5.5269;";"
616;2.4061;";"
617;5.5389;";"
618;5.5244;";"
620;6.0;";"
621;6.7651;";"
622;5.1506;";"
623;5.625;";"
624;3.7262;"Family;Architecture"
637;6.369;";"
639;6.1649;";"
644;6.8272;";"
645;3.8254;"Abstract;Macro"
646;5.625;";"
647;6.2873;";"
648;5.2083;"Architecture;Rural"
649;5.9372;";"
650;6.7312;";"
654;6.0789;";"
655;4.2283;"Emotive;"
656;4.5924;";"
657;5.254;";"
658;4.3777;";"
660;5.6085;";"
662;5.1514;";"
667;5.5323;";"
668;4.8085;";"
669;4.4427;";"
670;6.1799;";"
671;5.6421;";"
673;5.2199;";"
680;5.5526;";"
681;5.3777;";"
684;7.3439;";"
690;3.4362;";"
695;5.2435;"Abstract;"
697;5.8639;";"
700;5.5928;";"
704;6.1809;";"
706;6.377;"Abstract;Still"
710;5.7654;";"
712;6.712;";"
713;5.6064;";"
715;5.9;";"
716;4.3883;";"
717;4.5;";"
718;5.766;";"
722;5.7394;"Sports;Macro"
724;5.3838;"Abstract;Black"
726;5.526;";"
727;4.1047;";"
728;5.1323;";"
729;2.3138;";"
730;6.5968;";"
734;5.173;";"
735;3.8162;";"
736;4.8042;";"
738;7.754;";"
739;5.6862;";"
743;4.3934;";"
746;5.663;";"
747;5.8936;"Abstract;Black"
748;4.1737;";"
749;5.6793;";"
755;6.6702;";"
756;4.9839;";"
757;5.9896;";"
758;5.1283;";"
759;7.5812;"Black;"
760;5.328;";"
763;5.1737;";"
764;5.2328;";"
765;4.9;";"
766;5.2604;";"
767;5.492;";"
771;6.7609;"Abstract;Still"
772;5.3651;";"
773;5.2947;"Abstract;"
774;6.3684;";"
775;3.6211;";"
776;5.6075;";"
780;4.3583;";"
781;5.4628;";"
782;5.2723;";"
783;4.9572;";"
785;5.0266;";"
786;5.5765;";"
787;4.8626;";"
788;3.7527;";"
789;6.6757;"Action;"
